location_code,location,year,population,urban_population_ratio,gdp_per_capita,source,collected_at
CEB,Central Europe and the Baltics,2024,100061963,61.7976712496974,24616.0957872816,World Bank,2026-07-10T05:20:25.913489+00:00
CEB,Central Europe and the Baltics,2025,99814596,61.9065627516826,27676.9389653713,World Bank,2026-07-10T05:20:25.913489+00:00
CHE,Switzerland,2020,8638167,82.3416838515457,87529.7016394892,World Bank,2026-07-10T05:20:25.915715+00:00
CHE,Switzerland,2021,8704546,84.2006477608879,96582.8687080693,World Bank,2026-07-10T05:20:25.915715+00:00
CHE,Switzerland,2022,8777088,84.9206266284521,97809.095567203,World Bank,2026-07-10T05:20:25.915715+00:00
CHE,Switzerland,2023,8888822,85.1854212679815,104449.75451772,World Bank,2026-07-10T05:20:25.915715+00:00
CHE,Switzerland,2024,9005582,85.4615370020764,107702.065940312,World Bank,2026-07-10T05:20:25.915715+00:00
CHE,Switzerland,2025,9092436,85.7272157802756,114769.012314293,World Bank,2026-07-10T05:20:25.915715+00:00
CHI,Channel Islands,2020,166235,32.8247184979451,56785.9402005039,World Bank,2026-07-10T05:20:25.914609+00:00
CHI,Channel Islands,2021,166741,32.8148141071941,66915.3963925722,World Bank,2026-07-10T05:20:25.914609+00:00
CHI,Channel Islands,2022,167215,32.7920439098264,67627.1417347907,World Bank,2026-07-10T05:20:25.914609+00:00
CHI,Channel Islands,2023,167691,32.7554337975051,74585.5224096294,World Bank,2026-07-10T05:20:25.914609+00:00
CHI,Channel Islands,2024,168126,32.7056211227456,,World Bank,2026-07-10T05:20:25.914609+00:00
CHI,Channel Islands,2025,168466,32.6430856346098,,World Bank,2026-07-10T05:20:25.914609+00:00
CHL,Chile,2020,19370624,88.2953490438375,13117.9930230086,World Bank,2026-07-10T05:20:25.914609+00:00
CHL,Chile,2021,19456334,88.4660511664452,16216.1840860289,World Bank,2026-07-10T05:20:25.914609+00:00
CHL,Chile,2022,19553036,88.6395352768685,15399.1044717559,World Bank,2026-07-10T05:20:25.914609+00:00
CHL,Chile,2023,19658835,88.8158617217972,17081.5180740049,World Bank,2026-07-10T05:20:25.914609+00:00
CHL,Chile,2024,19764771,88.9950908479196,16658.9652720351,World Bank,2026-07-10T05:20:25.914609+00:00
